"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"KTKBANK","EQ","07-Jul-2025","193.70","194.90","195.19","192.00","192.99","192.86","193.29","12,07,115","23,33,27,949.19","23,211","6,21,146","51.46"
"KTKBANK","EQ","08-Jul-2025","192.86","193.33","194.80","192.50","193.28","193.16","193.37","10,00,785","19,35,20,570.14","17,614","5,84,672","58.42"
"KTKBANK","EQ","09-Jul-2025","193.16","193.70","193.95","190.70","191.00","192.05","192.41","13,64,490","26,25,38,276.00","22,627","8,77,977","64.34"
"KTKBANK","EQ","10-Jul-2025","192.05","192.95","193.32","190.47","191.25","191.23","191.30","8,43,090","16,12,85,251.31","24,458","4,92,825","58.45"
"KTKBANK","EQ","11-Jul-2025","191.23","191.65","192.49","190.20","190.50","190.39","190.84","6,78,190","12,94,26,327.64","19,939","4,30,467","63.47"
"KTKBANK","EQ","14-Jul-2025","190.39","191.71","193.50","190.54","193.00","193.11","191.96","8,59,048","16,49,02,710.42","12,062","5,48,817","63.89"
"KTKBANK","EQ","15-Jul-2025","193.11","194.00","194.90","192.42","193.50","193.17","193.36","8,72,279","16,86,66,697.16","13,730","4,48,537","51.42"
"KTKBANK","EQ","16-Jul-2025","193.17","193.40","194.20","192.61","193.00","192.95","193.17","7,85,791","15,17,91,307.79","12,527","5,00,325","63.67"
"KTKBANK","EQ","17-Jul-2025","192.95","193.80","196.84","192.10","193.30","193.44","193.32","12,48,464","24,13,56,091.09","15,296","6,18,557","49.55"
"KTKBANK","EQ","18-Jul-2025","193.44","193.45","193.87","190.60","191.78","191.56","192.29","6,93,365","13,33,30,161.68","18,498","3,70,597","53.45"
"KTKBANK","EQ","21-Jul-2025","191.56","192.29","192.29","190.15","191.32","191.21","191.09","5,36,701","10,25,57,785.82","16,868","3,37,129","62.82"
"KTKBANK","EQ","22-Jul-2025","191.21","191.98","191.98","190.16","190.55","190.52","190.78","4,76,863","9,09,76,628.98","14,357","3,18,713","66.84"
"KTKBANK","EQ","23-Jul-2025","190.52","190.85","191.40","188.39","189.56","189.41","189.44","7,88,668","14,94,08,773.34","24,060","5,28,715","67.04"
"KTKBANK","EQ","24-Jul-2025","189.41","190.00","190.20","187.84","188.40","188.71","188.69","6,16,567","11,63,37,908.50","23,857","3,77,546","61.23"
"KTKBANK","EQ","25-Jul-2025","188.71","188.80","188.80","187.02","187.89","187.92","187.76","5,23,457","9,82,82,009.86","22,579","2,82,959","54.06"
"KTKBANK","EQ","28-Jul-2025","187.92","187.50","188.30","184.50","184.77","184.80","186.01","13,62,312","25,33,99,693.11","24,486","10,59,474","77.77"
"KTKBANK","EQ","29-Jul-2025","184.80","185.49","185.76","181.62","184.30","183.66","182.66","22,10,515","40,37,81,128.55","26,568","13,72,421","62.09"
"KTKBANK","EQ","30-Jul-2025","183.66","183.68","184.63","181.80","182.40","182.11","182.62","7,05,921","12,89,15,940.51","22,834","4,67,128","66.17"
"KTKBANK","EQ","31-Jul-2025","182.11","181.10","181.59","179.70","180.80","180.66","180.69","8,91,240","16,10,34,285.59","22,907","6,14,060","68.90"
"KTKBANK","EQ","01-Aug-2025","180.66","180.66","180.80","178.00","178.40","178.39","179.17","6,63,238","11,88,31,346.19","22,476","4,44,820","67.07"
"KTKBANK","EQ","04-Aug-2025","178.39","178.50","180.80","177.50","180.00","180.35","179.71","8,32,567","14,96,17,688.95","19,370","4,95,716","59.54"
"KTKBANK","EQ","05-Aug-2025","180.35","181.04","181.05","178.06","178.99","178.68","179.44","8,61,243","15,45,41,406.51","21,443","5,45,495","63.34"
"KTKBANK","EQ","06-Aug-2025","178.68","179.40","179.75","174.60","175.15","174.94","175.61","15,55,826","27,32,17,655.15","41,814","10,58,376","68.03"
"KTKBANK","EQ","07-Aug-2025","174.94","174.80","175.90","171.70","174.30","173.65","173.73","9,49,761","16,49,99,468.88","28,745","5,79,938","61.06"
"KTKBANK","EQ","08-Aug-2025","173.65","175.00","175.00","171.50","172.75","172.17","172.76","16,17,508","27,94,35,841.79","26,491","12,64,239","78.16"
"KTKBANK","EQ","11-Aug-2025","172.17","173.10","173.40","171.50","172.40","172.19","172.27","10,61,624","18,28,86,073.44","23,152","6,90,545","65.05"
"KTKBANK","EQ","12-Aug-2025","172.19","172.50","172.65","171.70","172.25","172.20","172.23","6,85,602","11,80,82,936.37","16,653","4,39,468","64.10"
"KTKBANK","EQ","13-Aug-2025","172.20","170.00","172.00","170.00","170.68","170.51","170.66","13,03,857","22,25,12,623.36","27,784","6,94,898","53.30"
"KTKBANK","EQ","14-Aug-2025","170.51","172.99","172.99","169.50","169.99","169.89","170.69","8,87,776","15,15,35,099.60","27,352","5,38,192","60.62"
"KTKBANK","EQ","18-Aug-2025","169.89","170.15","171.59","169.91","170.85","170.87","170.59","6,01,244","10,25,68,019.94","19,015","3,72,121","61.89"
"KTKBANK","EQ","19-Aug-2025","170.87","171.40","173.21","169.97","173.15","172.43","171.42","6,15,070","10,54,33,970.48","18,407","3,95,555","64.31"
"KTKBANK","EQ","20-Aug-2025","172.43","173.81","173.81","171.65","172.09","171.99","172.02","5,91,095","10,16,80,736.82","16,020","3,57,754","60.52"
"KTKBANK","EQ","21-Aug-2025","171.99","172.15","172.68","171.10","171.90","171.68","171.99","7,35,247","12,64,52,648.88","15,359","4,21,063","57.27"
"KTKBANK","EQ","22-Aug-2025","171.68","172.40","174.00","170.66","172.39","172.46","172.00","6,38,427","10,98,06,319.70","16,004","3,33,295","52.21"
"KTKBANK","EQ","25-Aug-2025","172.46","173.00","173.15","171.56","172.00","171.94","172.21","4,77,463","8,22,24,249.93","14,225","2,45,370","51.39"
"KTKBANK","EQ","26-Aug-2025","171.94","172.30","172.30","170.00","170.70","170.19","170.60","6,03,847","10,30,19,235.94","22,781","3,94,598","65.35"
"KTKBANK","EQ","28-Aug-2025","170.19","171.99","171.99","169.12","170.15","170.20","170.36","4,74,322","8,08,05,727.77","19,834","2,92,657","61.70"
"KTKBANK","EQ","29-Aug-2025","170.20","171.50","173.00","171.00","171.99","171.62","171.95","6,97,621","11,99,56,286.80","16,438","2,92,991","42.00"
"KTKBANK","EQ","01-Sep-2025","171.62","173.00","175.29","172.30","175.26","174.50","173.69","8,32,367","14,45,77,439.01","14,128","4,84,542","58.21"
"KTKBANK","EQ","02-Sep-2025","174.50","175.30","177.59","174.51","175.35","175.31","176.13","7,79,106","13,72,26,452.65","15,338","4,32,583","55.52"
"KTKBANK","EQ","03-Sep-2025","175.31","175.50","176.59","173.70","174.50","174.46","174.82","20,47,694","35,79,76,560.33","21,837","12,39,660","60.54"
"KTKBANK","EQ","04-Sep-2025","174.46","175.50","177.00","175.00","176.00","175.46","176.00","14,98,686","26,37,70,384.23","19,914","9,70,199","64.74"
"KTKBANK","EQ","05-Sep-2025","175.46","176.49","176.49","174.00","174.10","174.15","174.63","10,16,613","17,75,33,916.68","22,633","7,41,614","72.95"
"KTKBANK","EQ","08-Sep-2025","174.15","176.00","176.50","173.50","173.99","174.15","174.32","10,03,690","17,49,61,270.70","20,750","6,02,262","60.00"
"KTKBANK","EQ","09-Sep-2025","174.15","174.13","175.17","173.81","174.60","174.69","174.25","6,09,581","10,62,18,510.61","14,988","3,52,620","57.85"
"KTKBANK","EQ","10-Sep-2025","174.69","175.58","179.50","175.23","179.09","178.70","178.09","15,59,616","27,77,54,814.53","21,042","10,10,829","64.81"
"KTKBANK","EQ","11-Sep-2025","178.70","179.60","180.80","178.37","178.90","178.75","179.23","13,43,847","24,08,61,548.17","17,121","8,24,162","61.33"
"KTKBANK","EQ","12-Sep-2025","178.75","179.80","180.70","178.37","179.05","178.97","179.02","11,68,601","20,92,06,067.06","10,260","8,11,029","69.40"
"KTKBANK","EQ","15-Sep-2025","178.97","179.78","182.01","178.66","182.00","181.78","180.66","24,70,899","44,63,90,618.90","17,154","17,34,367","70.19"
"KTKBANK","EQ","16-Sep-2025","181.78","177.80","177.80","175.05","176.50","176.41","176.15","19,02,165","33,50,65,675.62","19,699","12,04,709","63.33"
"KTKBANK","EQ","17-Sep-2025","176.41","176.50","177.00","175.00","175.15","175.25","175.68","12,98,810","22,81,71,199.00","17,900","8,57,352","66.01"
"KTKBANK","EQ","18-Sep-2025","175.25","175.51","177.10","174.23","176.79","176.59","175.78","8,99,016","15,80,25,369.95","14,355","4,85,980","54.06"
"KTKBANK","EQ","19-Sep-2025","176.59","176.59","176.59","175.10","176.00","175.89","175.84","12,42,296","21,84,42,904.80","10,179","9,17,755","73.88"
"KTKBANK","EQ","22-Sep-2025","175.89","175.63","176.52","174.00","174.15","174.21","174.87","8,54,445","14,94,12,814.23","19,349","5,48,986","64.25"
"KTKBANK","EQ","23-Sep-2025","174.21","174.20","174.90","173.65","174.18","174.12","174.11","6,39,368","11,13,19,194.76","9,402","4,32,238","67.60"
"KTKBANK","EQ","24-Sep-2025","174.12","174.50","174.95","173.32","173.91","173.74","173.62","20,05,133","34,81,40,884.10","12,322","9,72,327","48.49"
"KTKBANK","EQ","25-Sep-2025","173.74","173.74","174.11","172.21","172.55","172.48","172.85","4,16,872","7,20,56,662.98","14,557","2,26,189","54.26"
"KTKBANK","EQ","26-Sep-2025","172.48","172.50","172.50","170.00","171.30","171.05","170.71","5,13,085","8,75,88,796.49","18,558","2,72,612","53.13"
"KTKBANK","EQ","29-Sep-2025","171.05","171.70","173.25","170.50","171.59","170.82","171.46","6,31,598","10,82,90,884.05","14,030","2,95,824","46.84"
"KTKBANK","EQ","30-Sep-2025","170.82","170.82","173.09","170.82","173.09","172.11","172.00","4,03,638","6,94,25,448.07","9,024","1,86,447","46.19"
"KTKBANK","EQ","01-Oct-2025","172.11","172.85","173.49","171.65","173.40","173.08","172.90","5,40,654","9,34,76,595.13","9,261","2,55,376","47.23"
"KTKBANK","EQ","03-Oct-2025","173.08","173.40","174.30","172.58","174.25","174.03","173.52","8,20,655","14,24,03,710.73","15,816","4,31,316","52.56"
"KTKBANK","EQ","06-Oct-2025","174.03","174.03","175.60","173.83","174.79","174.65","174.92","13,75,725","24,06,44,113.42","10,861","10,25,805","74.56"
